序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
110,600895,张江高科,0.63,1983301113.34,2025737630.73,-2.094867407617,-34.20326875357,982421581.11,947899545.53,3.641950852577,92.6059514433,,7.64,房地产开发,2026-03-13
111,600663,陆家嘴,0.3063,14650978500.0,11005931600.0,33.118931068043,290.561928542,1508475000.0,1432364100.0,5.31365593427,167.6955241051,4.89,6.36,房地产开发,2026-03-13
112,600639,浦东金桥,0.8931,2724786282.83,6585310852.05,-58.623270122749,18.871753573487,1001950138.86,1818789939.0,-44.911167728864,871.9292586236,12.9399,7.0,房地产开发,2026-03-13
113,300770,新媒股份,2.87,1578761300.0,1523443600.0,3.631096024822,0.396401270279,657858900.0,707676200.0,-7.039561313493,53.9216177583,15.74,17.24,电视广播Ⅱ,2026-03-13
114,300303,聚飞光电,0.25,3053431300.0,2512195733.65,21.544323123407,3.708557587631,339617500.0,230045144.11,47.630805820272,37.5888894444,2.636,10.68,光学光电子,2026-03-13
115,002938,鹏鼎控股,1.56,35140384500.0,32066047800.0,9.587513619312,12.483021686133,3620351400.0,3286953200.0,10.143077181628,38.3266121177,13.85,11.73,元件,2026-03-13
116,002043,兔宝宝,0.71,9188839400.0,9062858500.0,1.390079079354,6.613257406265,585253700.0,689424300.0,-15.1097952306,-56.8545109338,3.67,18.8,装修建材,2026-03-13
117,301389,隆扬电子,0.29,287638700.0,265355979.43,8.39729355934,-0.005512122449,82231700.0,96762734.55,-15.017180547426,30.617357872,7.82,3.74,消费电子,2026-03-12
118,301329,信音电子,0.41,786885000.0,773957506.9,1.670310447893,-14.551465081863,69760400.0,72550730.26,-3.846040212139,82.6285652159,9.19,4.46,消费电子,2026-03-12
119,300776,帝尔激光,1.94,2014351500.0,1608896942.4,25.200778677296,7.390713482318,527611300.0,461187200.35,14.402849775447,-2.1765093292,12.74,16.25,光伏设备,2026-03-12
120,300685,艾德生物,0.64,1108948700.0,1043506694.32,6.271354657925,-14.418592772968,254863400.0,261484433.37,-2.532094658435,-66.9205745507,4.63,14.37,医疗器械,2026-03-12
121,300590,移为通信,0.35,966879900.0,1015760387.49,-4.812206509725,26.337139282572,158610000.0,146748172.08,8.083118005404,-30.0228690279,4.05,8.8,通信设备,2026-03-12
122,002959,小熊电器,1.8552,4758270000.0,4711887394.9,0.984374226562,60.675372933074,287787400.0,445273101.28,-35.36833930172,459.3529902116,17.9712,10.37,小家电,2026-03-12
123,601225,陕西煤业,2.31,184144845100.0,181471814700.0,1.472972761318,9.303775469446,22359786600.0,23114636700.0,-3.265680139372,-23.2158225994,9.34,21.32,煤炭开采,2026-03-11
124,300747,锐科激光,0.2391,3197308200.0,3679715777.57,-13.109914100175,11.34208296776,134272900.0,217425600.43,-38.244208715786,-40.8413578054,5.79,4.09,自动化设备,2026-03-11
125,002256,兆新股份,-0.07,346292500.0,331079792.69,4.594876415259,34.316371710058,-143366100.0,-84824316.11,-69.015332601189,40.6479419276,0.57,-11.94,电力,2026-03-11
126,300979,华利集团,3.29,24006393600.0,20113741026.09,19.353200226953,7.545449280666,3840329000.0,3200210711.17,20.002379424447,3.3348094391,14.94,23.77,纺织制造,2026-03-10
127,002393,力生制药,0.72,1336154449.87,1153032801.76,15.881737954938,11.91091233383,184528445.53,361827990.02,-49.001058342722,-77.1652120198,18.5,3.74,化学制药,2026-03-10
128,603175,超颖电子,0.72,4123616957.32,3656252496.1,12.782609016159,-3.39974561476,276217324.25,266155313.46,3.780503443345,-41.7564699896,4.8,16.34,元件,2026-03-07
129,603043,广州酒家,0.8683,5123689400.0,4900549418.32,4.553366625502,-53.409585567356,493857000.0,550481438.32,-10.286348344971,-88.2350772671,6.82,13.27,休闲食品,2026-03-07
130,600612,老凤祥,3.7273,56792876500.0,71435641400.0,-20.497841991799,-66.638019071586,1949801700.0,2214395300.0,-11.948797037277,-53.2468958008,23.8915,16.2,饰品,2026-03-07
131,002082,ST万邦,0.09,1443365200.0,1541938584.52,-6.392821705716,14.666417735816,55441000.0,49208883.46,12.664616837051,21.658788182,4.32,2.08,化学制药,2026-03-07
132,000628,高新发展,0.174,7127243800.0,8008118403.35,-10.999769970703,51.023511988191,61369700.0,365937536.58,-83.229460258832,-195.6393145954,6.004,2.91,房屋建设Ⅱ,2026-03-07
